token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
000,[-0.0166354082830366],[0.0137795424519017],-1.0,,0.0
10,[-0.0320159208058612],[-0.0115442073956752],1.0,,0.0
13,[-0.1613858109922148],[-0.1962107950996907],1.0,,0.0
200,[-0.0675917200860567],[0.044545656212598],-1.0,,0.0
3,[-0.0464476180495694],[-0.0873789556700128],1.0,,0.0
30,"[-0.1162610485807817, -0.1959162421990186, -0.0122864575678249]","[-0.0356206702589238, -0.0486755291142713, 0.0422493571373096]",0.7831916780927594,0.9510692739055625,0.15442496070915407
47,[-0.1356442962423898],[0.0038466594722307],-1.0,,0.0
48,[-0.1737225367687642],[-0.227755020633701],1.0,,0.0
5,[-0.15103556093527],[-0.0214112919993877],1.0,,0.0
5pm,[-0.0456561029131989],[0.0191961846469614],-1.0,,0.0
65,[-0.022738340536307],[-0.0064940987591094],1.0,,0.0
70,[-0.0028570123249664],[-0.043451930216695],1.0,,0.0
90,[-0.077024215075653],[-0.0495285453185184],1.0,,0.0
A,"[-0.120693338336423, -0.1174383987672627, -0.031137487036176, -0.035822459612973, -0.0206733295926824, -0.0283039660425856, 0.002869896532502, -0.0849323382717557, -0.0725670927204191, -0.0771626888308674, -0.0841273418627679, -0.0471716845640912, -0.0589383390033617, -0.0440078091342002, -0.0186268866527825, -0.044242002768442, -0.0866163689643144, 0.0190595487365499, 0.0971657094669353, -0.0053242907742969, -0.0349898828426376, -0.0304072587168775, 0.0236788290349068]","[-0.0221253766620703, -0.1077618794102096, 0.00284123906157, -0.0474812378600932, 0.0438894488091541, 0.0207159303021196, 0.0269488105525638, -0.0964115260857515, -0.1284935892210973, -0.0636928594739796, -0.005132413125305, 0.0188606288583294, 0.0131867350278253, 0.0430608875143816, -0.0644336776758412, -0.0021331358327529, -0.0250682573514812, -0.0052385248179983, 0.1529400187380155, -0.0487461376403154, -0.0020376175644702, -0.0024898772438437, 0.0133697644316526]",0.641287054763429,0.6727770326323872,0.20524328678436973
AK,[0.2530465225572698],[0.2196159427074979],1.0,,0.0
Ababa,[0.0816354480339214],[0.0069589135622519],1.0,,0.0
Adam,[-0.055912054493092],[0.0281994272666423],-1.0,,0.0
Addis,[0.0922235243488103],[0.0361183970238371],1.0,,0.0
Afghan,"[0.0993102514185011, -0.0158374230959452]","[0.052028027206055, -0.073578571047678]",0.6987319039149051,1.0,0.0
Afghans,"[-0.0628357990644872, -0.01258564600721, 0.0305627597845159, 0.0512173287570476, 0.1721202686894685]","[0.108395141271991, 0.0294827427304084, 0.1197962347635893, 0.152934737531751, 0.2210328698067029]",0.6963662300593586,0.808415200414583,0.26400990447038
Africa,"[-0.0004406555817695, 0.0726228877902031, 0.0825287383049726, 0.0298672955250367]","[-0.0345642145199975, 0.0685833209007444, 0.0685833209007444, -0.007700830654085]",0.8863824031364542,0.9873428853324828,0.052866232194212597
African,"[0.1175125525332987, 0.2195338322198949, 0.276524445915129, 0.1692506107501685, 0.3604622688144445, 0.1223581579979509, 0.0744312518509104, 0.0832461036916356, 0.1480559231713414, 0.0134143771138042, 0.0838883698597783]","[0.1727662418419937, -0.0064967798256064, 0.2064140640733502, 0.0395673139296826, 0.2413494727788439, 0.1037592385098045, 0.0015264660963646, 0.0053645391166836, 0.0829348077611501, 0.0876412717069396, -0.0042692629576005]",0.8300180795310094,0.6155896809192382,0.339361162375172
Africans,[-0.0274863546947017],[0.1042297703460329],-1.0,,0.0
Afro,[0.0279082516208291],[0.1306302453230083],1.0,,0.0
After,"[-0.0328909134259447, -0.0866735847848758, -0.0860120651777833]","[-0.0194553593696434, -0.0583164665187913, -0.0300395425611837]",0.9567058207764676,0.717963968278822,0.3866335989658354
All,"[-0.0268724795896559, -0.0093117177020758, 0.0101615166058763, 0.1154978619888424]","[-0.0037488534646937, 0.008551236186534, 0.0086150056350809, 0.1596926942320893]",0.9701062645067916,0.9839510308121083,0.14013937401098564
Allah,[0.0155793945305049],[0.087705254373128],1.0,,0.0
Alot,[0.0333157517015934],[0.0257847592962296],1.0,,0.0
Alps,[0.0853519896045327],[0.0494500289970562],1.0,,0.0
Although,"[-0.1440700401726644, -0.2097557002707617]","[-0.0127387472364923, -0.3034164308245179]",0.8473167438603039,1.0,0.0
America,"[-0.1109155920858029, 0.0280072566238231, -0.0636456144566182]","[-0.0445288245393609, 0.0230416543735442, 0.0993050391826612]",-0.05054302247582756,0.30155059204803997,0.3072673256445244
American,"[-0.0286357732256874, -0.0421694684191606, -0.3074220279231667, 0.2691806341754272, -0.0824848882621154]","[-0.0091166291853524, 0.0071874776050474, -0.1475308459306121, 0.1341807923357711, -0.0572548222588167]",0.9872076348105396,0.9879948944711554,0.03947756893867982
Americans,"[0.0647281752899289, 0.0821799751720391]","[0.0238132601959812, 0.0321999953674839]",0.9995384482973683,1.0,0.011036892535634134
Amish,[0.1388364901067689],[0.0564734062923308],1.0,,0.0
Angolan,[-0.0344421186018735],[-0.2195266644282495],1.0,,0.0
Apocalypse,[-0.0343966801083297],[-0.0259019738584755],1.0,,0.0
Arab,[0.0267069870606064],[-0.1634271326208563],-1.0,,0.0
Arabia,"[0.0212616566568613, 0.0370338530337903]","[0.0279733350436532, -0.011802960672903]",0.12159393513316537,-1.0,0.54500786516325
Arabian,"[0.1129657886922359, 0.1430568050127476, 0.016109827789478]","[0.0217815671917594, 0.0722705748998327, 0.0172517040728988]",0.9229706150761352,0.7356511849211489,0.1857704077250802
Are,[-0.0982479560479987],[-0.0483840190377141],1.0,,0.0
Argentina,[-0.0261012366972863],[0.0021979132568482],-1.0,,0.0
Argentine,[0.0557921312283724],[0.0409727360112153],1.0,,0.0
As,[-0.047702987852972],[0.0333133688512726],-1.0,,0.0
Asexual,"[0.0424158337991684, 0.0782492844737134, 0.1373428790830075, 0.052335379878059, 0.0699306419119238, -0.0208731123711913, 0.0661466611782088, 0.0720997415482997, 0.0617979720045696, 0.1487663261359557, 0.1144374293508008, 0.0918606801569694, 0.0540012831334024, -0.1657804328715428]","[0.0319971263362076, 0.0285081943755892, 0.0009084118813468, -0.0704759410954791, 0.036291748670073, 0.0228519577653114, 0.0695916187870214, 0.028689210369136, 0.0094604495561604, 0.0526378534366728, -0.0004518540709927, 0.0195179773749133, 0.0450579112684518, -0.0781071098987535]",0.6119200591585302,0.550720489362915,0.16003424249658707
Asian,"[-0.0324966424377635, 0.0439204235153738]","[-0.0375056137872825, 0.0095301403435343]",0.7744450277107467,1.0,0.0
At,[0.0636273698764853],[0.1710824668875211],1.0,,0.0
Australians,[-0.1045209158910438],[-0.0639612974339478],1.0,,0.0
Austria,"[0.0804686425253748, -0.0444474691757932]","[0.0655717553401654, 0.0022214856800016]",0.8584700789190667,1.0,0.10720622914266503
Austrian,"[-0.0477100252173841, -0.0217110067605972]","[0.0134389303775009, -0.0699590569761666]",0.23505009656372108,-1.0,0.8325546111576977
Bad,[0.3657784946262836],[0.3466660333231249],1.0,,0.0
Bai,[0.0769500276073813],[0.0751348006180051],1.0,,0.0
Bangladeshi,[0.114566478820052],[0.0096303046318517],1.0,,0.0
Barundi,[-0.0183686879463493],[0.0358377089263037],-1.0,,0.0
Barundians,[-0.0916591115528717],[0.0266221236258602],-1.0,,0.0
Because,"[0.0779840364702977, 0.0673273130087181]","[0.0175414703579856, 0.0923270858641105]",0.7832939173442948,-1.0,0.2855221593934138
Being,[-0.0293385901604779],[-0.0236079171846793],1.0,,0.0
Bengali,"[0.0436468027182854, 0.0051342878723517]","[-0.0124470557963921, 0.075249237840257]",-0.046815129967362416,-1.0,0.7206680557965542
